kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
Pärnu JK Vaprus,2 - 4,JK Tallinna Kalev,2018,2.0,4.0
JK Narva Trans,4 - 1,Viljandi JK Tulevik,2018,4.0,1.0
FC Kuressaare,1 - 3,Tartu JK Tammeka,2018,1.0,3.0
Paide Linnameeskond,0 - 3,Nõmme Kalju FC,2018,0.0,3.0
Pärnu JK Vaprus,0 - 4,Tallinna FCI Levadia,2018,0.0,4.0
Tallinna FC Flora,3 - 1,JK Tallinna Kalev,2018,3.0,1.0
Tallinna FC Flora,5 - 0,Tartu JK Tammeka,2018,5.0,0.0
Viljandi JK Tulevik,0 - 3,Paide Linnameeskond,2018,0.0,3.0
Nõmme Kalju FC,4 - 0,Pärnu JK Vaprus,2018,4.0,0.0
Tallinna FCI Levadia,4 - 0,FC Kuressaare,2018,4.0,0.0
JK Tallinna Kalev,0 - 1,JK Narva Trans,2018,0.0,1.0
Viljandi JK Tulevik,2 - 5,Nõmme Kalju FC,2018,2.0,5.0
FC Kuressaare,0 - 3,JK Narva Trans,2018,0.0,3.0
Pärnu JK Vaprus,0 - 3,Paide Linnameeskond,2018,0.0,3.0
Tartu JK Tammeka,1 - 0,JK Tallinna Kalev,2018,1.0,0.0
Tallinna FC Flora,3 - 0,Tallinna FCI Levadia,2018,3.0,0.0
JK Narva Trans,1 - 1,Pärnu JK Vaprus,2018,1.0,1.0
FC Kuressaare,1 - 4,Viljandi JK Tulevik,2018,1.0,4.0
Paide Linnameeskond,2 - 1,Tartu JK Tammeka,2018,2.0,1.0
Tallinna FCI Levadia,3 - 2,JK Tallinna Kalev,2018,3.0,2.0
Nõmme Kalju FC,1 - 1,Tallinna FC Flora,2018,1.0,1.0
Tartu JK Tammeka,0 - 1,Nõmme Kalju FC,2018,0.0,1.0
JK Tallinna Kalev,1 - 2,Paide Linnameeskond,2018,1.0,2.0
Tallinna FC Flora,2 - 2,JK Narva Trans,2018,2.0,2.0
Pärnu JK Vaprus,3 - 1,FC Kuressaare,2018,3.0,1.0
Viljandi JK Tulevik,0 - 4,Tallinna FCI Levadia,2018,0.0,4.0
FC Kuressaare,2 - 4,Nõmme Kalju FC,2018,2.0,4.0
JK Narva Trans,2 - 1,Tartu JK Tammeka,2018,2.0,1.0
Tallinna FCI Levadia,4 - 0,Pärnu JK Vaprus,2018,4.0,0.0
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2018,0.0,2.0
Tallinna FC Flora,7 - 2,Paide Linnameeskond,2018,7.0,2.0
Viljandi JK Tulevik,3 - 2,Tartu JK Tammeka,2018,3.0,2.0
FC Kuressaare,0 - 5,Tallinna FCI Levadia,2018,0.0,5.0
Paide Linnameeskond,2 - 5,JK Narva Trans,2018,2.0,5.0
Tallinna FC Flora,3 - 0,Pärnu JK Vaprus,2018,3.0,0.0
JK Tallinna Kalev,0 - 2,Nõmme Kalju FC,2018,0.0,2.0
JK Narva Trans,2 - 1,FC Kuressaare,2018,2.0,1.0
Paide Linnameeskond,1 - 4,Tallinna FCI Levadia,2018,1.0,4.0
Nõmme Kalju FC,4 - 0,Viljandi JK Tulevik,2018,4.0,0.0
Tartu JK Tammeka,5 - 0,Pärnu JK Vaprus,2018,5.0,0.0
JK Tallinna Kalev,2 - 2,Tallinna FC Flora,2018,2.0,2.0
FC Kuressaare,1 - 3,Paide Linnameeskond,2018,1.0,3.0
Pärnu JK Vaprus,0 - 3,Viljandi JK Tulevik,2018,0.0,3.0
Tartu JK Tammeka,0 - 4,Tallinna FC Flora,2018,0.0,4.0
JK Narva Trans,3 - 2,JK Tallinna Kalev,2018,3.0,2.0
Tallinna FCI Levadia,0 - 0,Nõmme Kalju FC,2018,0.0,0.0
Viljandi JK Tulevik,1 - 2,FC Kuressaare,2018,1.0,2.0
Pärnu JK Vaprus,0 - 1,JK Narva Trans,2018,0.0,1.0
JK Tallinna Kalev,1 - 4,Tallinna FCI Levadia,2018,1.0,4.0
Tartu JK Tammeka,1 - 1,Paide Linnameeskond,2018,1.0,1.0
Tallinna FC Flora,2 - 2,Nõmme Kalju FC,2018,2.0,2.0
FC Kuressaare,3 - 3,JK Tallinna Kalev,2018,3.0,3.0
Paide Linnameeskond,2 - 1,Pärnu JK Vaprus,2018,2.0,1.0
JK Narva Trans,1 - 2,Tallinna FC Flora,2018,1.0,2.0
Tallinna FCI Levadia,2 - 1,Viljandi JK Tulevik,2018,2.0,1.0
Nõmme Kalju FC,2 - 2,Tartu JK Tammeka,2018,2.0,2.0
Nõmme Kalju FC,0 - 0,Paide Linnameeskond,2018,0.0,0.0
Tallinna FC Flora,4 - 0,FC Kuressaare,2018,4.0,0.0
JK Tallinna Kalev,5 - 0,Pärnu JK Vaprus,2018,5.0,0.0
Viljandi JK Tulevik,4 - 1,JK Narva Trans,2018,4.0,1.0
Tartu JK Tammeka,0 - 3,Tallinna FCI Levadia,2018,0.0,3.0
Pärnu JK Vaprus,0 - 5,Nõmme Kalju FC,2018,0.0,5.0
Viljandi JK Tulevik,1 - 3,Tallinna FC Flora,2018,1.0,3.0
Tartu JK Tammeka,6 - 1,FC Kuressaare,2018,6.0,1.0
JK Narva Trans,1 - 2,Tallinna FCI Levadia,2018,1.0,2.0
Paide Linnameeskond,2 - 2,JK Tallinna Kalev,2018,2.0,2.0
Tallinna FCI Levadia,2 - 1,Tallinna FC Flora,2018,2.0,1.0
Nõmme Kalju FC,4 - 1,JK Narva Trans,2018,4.0,1.0
Paide Linnameeskond,4 - 1,Viljandi JK Tulevik,2018,4.0,1.0
FC Kuressaare,2 - 1,Pärnu JK Vaprus,2018,2.0,1.0
Tartu JK Tammeka,2 - 1,JK Tallinna Kalev,2018,2.0,1.0
Nõmme Kalju FC,0 - 2,Paide Linnameeskond,2019,0.0,2.0
JK Narva Trans,0 - 0,FC Kuressaare,2019,0.0,0.0
Tallinna FCI Levadia,5 - 1,JK Tallinna Kalev,2019,5.0,1.0
Tartu JK Tammeka,2 - 2,Maardu Linnameeskond,2019,2.0,2.0
Tallinna FC Flora,2 - 0,Viljandi JK Tulevik,2019,2.0,0.0
Viljandi JK Tulevik,0 - 4,Tartu JK Tammeka,2019,0.0,4.0
FC Kuressaare,0 - 1,Tallinna FCI Levadia,2019,0.0,1.0
JK Tallinna Kalev,0 - 4,JK Narva Trans,2019,0.0,4.0
Paide Linnameeskond,0 - 1,Tallinna FC Flora,2019,0.0,1.0
Maardu Linnameeskond,0 - 5,Nõmme Kalju FC,2019,0.0,5.0
Paide Linnameeskond,2 - 0,JK Tallinna Kalev,2019,2.0,0.0
JK Narva Trans,0 - 0,Nõmme Kalju FC,2019,0.0,0.0
Tallinna FC Flora,4 - 1,Tartu JK Tammeka,2019,4.0,1.0
Tallinna FCI Levadia,8 - 0,Maardu Linnameeskond,2019,8.0,0.0
Viljandi JK Tulevik,1 - 2,FC Kuressaare,2019,1.0,2.0
Tartu JK Tammeka,0 - 3,Paide Linnameeskond,2019,0.0,3.0
Nõmme Kalju FC,0 - 3,Tallinna FC Flora,2019,0.0,3.0
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2019,0.0,2.0
Maardu Linnameeskond,1 - 0,FC Kuressaare,2019,1.0,0.0
JK Narva Trans,1 - 2,Tallinna FCI Levadia,2019,1.0,2.0
Paide Linnameeskond,0 - 0,JK Narva Trans,2019,0.0,0.0
Viljandi JK Tulevik,2 - 3,Nõmme Kalju FC,2019,2.0,3.0
Tartu JK Tammeka,1 - 2,Tallinna FCI Levadia,2019,1.0,2.0
FC Kuressaare,2 - 0,JK Tallinna Kalev,2019,2.0,0.0
Tallinna FC Flora,6 - 0,Maardu Linnameeskond,2019,6.0,0.0
Tallinna FCI Levadia,5 - 2,Viljandi JK Tulevik,2019,5.0,2.0
JK Tallinna Kalev,2 - 0,Maardu Linnameeskond,2019,2.0,0.0
JK Narva Trans,0 - 1,Tallinna FC Flora,2019,0.0,1.0
FC Kuressaare,0 - 1,Paide Linnameeskond,2019,0.0,1.0
Nõmme Kalju FC,2 - 0,Tartu JK Tammeka,2019,2.0,0.0
Nõmme Kalju FC,2 - 2,JK Tallinna Kalev,2019,2.0,2.0
Maardu Linnameeskond,0 - 0,Viljandi JK Tulevik,2019,0.0,0.0
Tartu JK Tammeka,1 - 2,JK Narva Trans,2019,1.0,2.0
Tallinna FC Flora,5 - 0,FC Kuressaare,2019,5.0,0.0
Paide Linnameeskond,0 - 2,Tallinna FCI Levadia,2019,0.0,2.0
JK Tallinna Kalev,0 - 4,Tartu JK Tammeka,2019,0.0,4.0
Maardu Linnameeskond,0 - 1,JK Narva Trans,2019,0.0,1.0
FC Kuressaare,0 - 0,Nõmme Kalju FC,2019,0.0,0.0
Viljandi JK Tulevik,2 - 2,Paide Linnameeskond,2019,2.0,2.0
Tallinna FCI Levadia,1 - 2,Tallinna FC Flora,2019,1.0,2.0
Tartu JK Tammeka,1 - 1,FC Kuressaare,2019,1.0,1.0
Tallinna FC Flora,6 - 0,JK Tallinna Kalev,2019,6.0,0.0
Paide Linnameeskond,2 - 0,Maardu Linnameeskond,2019,2.0,0.0
JK Narva Trans,0 - 1,Viljandi JK Tulevik,2019,0.0,1.0
Nõmme Kalju FC,2 - 1,Tallinna FCI Levadia,2019,2.0,1.0
FC Kuressaare,1 - 0,Maardu Linnameeskond,2019,1.0,0.0
Tallinna FCI Levadia,7 - 0,Tartu JK Tammeka,2019,7.0,0.0
JK Narva Trans,0 - 1,Paide Linnameeskond,2019,0.0,1.0
Viljandi JK Tulevik,1 - 3,Tallinna FC Flora,2019,1.0,3.0
JK Tallinna Kalev,0 - 1,Nõmme Kalju FC,2019,0.0,1.0
Nõmme Kalju FC,3 - 2,FC Kuressaare,2019,3.0,2.0
Viljandi JK Tulevik,0 - 3,Tallinna FCI Levadia,2019,0.0,3.0
Tallinna FC Flora,2 - 2,JK Narva Trans,2019,2.0,2.0
Paide Linnameeskond,2 - 1,Tartu JK Tammeka,2019,2.0,1.0
Maardu Linnameeskond,0 - 0,JK Tallinna Kalev,2019,0.0,0.0
Tallinna FCI Levadia,0 - 0,Nõmme Kalju FC,2019,0.0,0.0
JK Narva Trans,5 - 1,Maardu Linnameeskond,2019,5.0,1.0
Tartu JK Tammeka,0 - 2,Tallinna FC Flora,2019,0.0,2.0
